epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,453.218,0.54623,0.88906,0.53995,0.93319,0,0.50593,0.50658,0.50495,0.3389,0.72494,0.40278,0.40339,0.31564,1.00063,1.93614,2.63175,1.28288,0,0.000251309,0.000251309,0.000251309
70,459.249,0.56407,0.94459,0.52892,0.93416,0,0.41606,0.4514,0.41906,0.32378,0.34219,0.39505,0.39423,0.30477,1.07884,2.20574,3.14986,1.34174,0,0.000243696,0.000243696,0.000243696
71,465.351,0.55865,0.90379,0.50465,0.93556,0,0.39681,0.45833,0.44896,0.3623,0.39431,0.45833,0.46369,0.34767,1.00403,2.46446,3.03956,1.25937,0,0.000236083,0.000236083,0.000236083
72,470.693,0.53772,0.8567,0.49675,0.91069,0,0.49808,0.47868,0.44705,0.37508,0.49808,0.47868,0.46282,0.33978,0.92738,2.68938,3.0881,1.2258,0,0.00022847,0.00022847,0.00022847
73,477.445,0.56545,0.91338,0.50636,0.9449,0,0.52631,0.36249,0.44924,0.3743,0.44628,0.39314,0.46758,0.33845,0.96952,2.69782,3.119,1.25449,0,0.000220857,0.000220857,0.000220857
74,482.936,0.54078,0.84348,0.48433,0.9324,0,0.37942,0.33803,0.43784,0.34639,0.37942,0.33803,0.43784,0.31157,0.99516,2.40799,3.17914,1.25343,0,0.000213244,0.000213244,0.000213244
75,488.807,0.5613,0.94709,0.52478,0.93847,0,0.52199,0.40278,0.46147,0.38148,0.52199,0.40278,0.46147,0.37222,0.99691,2.26129,2.91897,1.22845,0,0.000205631,0.000205631,0.000205631
76,495.249,0.52908,0.8625,0.50238,0.93455,0,0.39231,0.34722,0.43173,0.35503,0.39231,0.34722,0.43173,0.34774,1.03447,1.97606,2.84495,1.23941,0,0.000198018,0.000198018,0.000198018
77,500.586,0.50702,0.81379,0.46893,0.91228,0,0.48379,0.34722,0.42319,0.33711,0.48379,0.34722,0.4164,0.33193,1.00877,1.90206,2.82808,1.23199,0,0.000190404,0.000190404,0.000190404
78,507.311,0.52675,0.88747,0.49085,0.91611,0,0.41462,0.34722,0.44339,0.35125,0.41462,0.34722,0.41013,0.33033,0.96281,1.89146,2.83264,1.21737,0,0.000182791,0.000182791,0.000182791
79,512.839,0.51484,0.84531,0.48401,0.92449,0,0.47105,0.38071,0.43353,0.34124,0.47105,0.38071,0.41147,0.32994,0.99221,2.15902,2.89216,1.23011,0,0.000175178,0.000175178,0.000175178
80,518.498,0.50422,0.81587,0.46605,0.91915,0,0.54069,0.42129,0.45001,0.32284,0.53525,0.40278,0.39496,0.30803,1.01659,2.42073,3.02414,1.26865,0,0.000167565,0.000167565,0.000167565
81,525.08,0.50935,0.80953,0.47801,0.91562,0,0.6255,0.40955,0.46684,0.33186,0.61535,0.40278,0.41178,0.32149,1.03594,2.43677,3.09433,1.26904,0,0.000159952,0.000159952,0.000159952
82,530.514,0.50365,0.82042,0.43472,0.89632,0,0.50034,0.39327,0.44574,0.3504,0.50034,0.39327,0.44574,0.33299,1.03684,2.4049,3.03634,1.26736,0,0.000152339,0.000152339,0.000152339
83,537.273,0.47754,0.8189,0.421,0.89344,0,0.52633,0.49971,0.43962,0.34328,0.52633,0.49971,0.43962,0.32259,1.01425,2.32198,2.8861,1.26092,0,0.000144726,0.000144726,0.000144726
84,542.805,0.5134,0.85365,0.46681,0.91929,0,0.54156,0.50603,0.44048,0.36577,0.54156,0.50603,0.4541,0.32674,1.02698,2.35316,2.73531,1.28688,0,0.000137113,0.000137113,0.000137113
85,548.474,0.48325,0.81818,0.45975,0.90539,0,0.56043,0.50768,0.44716,0.36328,0.56043,0.50768,0.4545,0.3251,1.03527,2.30213,2.75069,1.28886,0,0.0001295,0.0001295,0.0001295
86,555.013,0.47066,0.81826,0.41996,0.90035,0,0.51588,0.51244,0.47809,0.37556,0.51588,0.51244,0.47809,0.35373,1.05819,2.19335,2.88565,1.2756,0,0.000121887,0.000121887,0.000121887
87,560.358,0.48712,0.77147,0.44476,0.90501,0,0.55256,0.45871,0.48956,0.38742,0.48553,0.47341,0.47122,0.3638,1.05068,2.17914,3.02378,1.26205,0,0.000114273,0.000114273,0.000114273
88,566.946,0.46009,0.77784,0.44066,0.89783,0,0.73916,0.36957,0.50219,0.39455,0.71364,0.34049,0.48386,0.3691,1.01548,2.26109,3.01283,1.2562,0,0.00010666,0.00010666,0.00010666
89,572.675,0.46751,0.74449,0.43389,0.90013,0,0.74338,0.3853,0.4975,0.39093,0.70709,0.36111,0.47917,0.36627,1.0016,2.33065,2.97738,1.26693,0,9.90472e-05,9.90472e-05,9.90472e-05
90,578.228,0.49109,0.825,0.45019,0.90651,0,0.69834,0.33767,0.47084,0.36511,0.69834,0.33767,0.45617,0.3509,0.96661,2.27693,2.96467,1.24977,0,9.14341e-05,9.14341e-05,9.14341e-05
91,588.183,0.44207,0.65826,0.36055,0.88476,0,0.51271,0.40278,0.45196,0.36101,0.51271,0.40278,0.4373,0.33431,0.95024,2.22349,2.8293,1.23018,0,8.3821e-05,8.3821e-05,8.3821e-05
92,593.648,0.40748,0.65708,0.33085,0.88761,0,0.54342,0.456,0.43022,0.3472,0.54342,0.456,0.41647,0.32459,0.99156,2.24651,2.85272,1.22634,0,7.62079e-05,7.62079e-05,7.62079e-05
93,599.901,0.41873,0.64647,0.33828,0.90058,0,0.55316,0.39704,0.43246,0.35714,0.55316,0.39704,0.43246,0.33419,1.00687,2.2157,2.86184,1.22276,0,6.85948e-05,6.85948e-05,6.85948e-05
94,605.28,0.38614,0.62486,0.31154,0.85861,0,0.54736,0.45833,0.497,0.41404,0.54736,0.45833,0.497,0.39839,0.96523,2.15282,2.74525,1.1971,0,6.09817e-05,6.09817e-05,6.09817e-05
95,611.403,0.40186,0.64038,0.31059,0.87556,0,0.48794,0.49868,0.49953,0.41231,0.48794,0.49868,0.49953,0.39642,0.89575,2.04385,2.74165,1.17188,0,5.33686e-05,5.33686e-05,5.33686e-05
96,617.119,0.37466,0.61718,0.29122,0.87062,0,0.52407,0.52416,0.46171,0.37277,0.52407,0.52416,0.46171,0.36608,0.85298,1.99247,2.74374,1.14994,0,4.57555e-05,4.57555e-05,4.57555e-05
97,622.244,0.37689,0.63184,0.29756,0.84848,0,0.53153,0.52518,0.46248,0.3728,0.53153,0.52518,0.46248,0.36668,0.84106,1.98148,2.76347,1.13996,0,3.81424e-05,3.81424e-05,3.81424e-05
98,628.877,0.36917,0.59376,0.28437,0.84721,0,0.69867,0.39066,0.47956,0.3891,0.69867,0.39066,0.47956,0.37722,0.8421,1.99223,2.80043,1.13275,0,3.05293e-05,3.05293e-05,3.05293e-05
99,634.198,0.34601,0.59422,0.27859,0.83876,0,0.72515,0.38869,0.4767,0.38213,0.72515,0.38869,0.4767,0.36295,0.84511,1.98896,2.83187,1.12685,0,2.29162e-05,2.29162e-05,2.29162e-05
100,639.823,0.34768,0.58223,0.26902,0.85126,0,0.73151,0.38881,0.48002,0.3925,0.73151,0.38881,0.48002,0.38084,0.85111,2.01036,2.88856,1.13052,0,1.53031e-05,1.53031e-05,1.53031e-05
