epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,127.831,0.62874,0.86071,0.96244,0.87995,0.85086,0.9172,0.79912,0.62541,0.69699,0.88102,0.000131375,0.000131375,0.000131375
56,129.489,0.62454,0.854,0.94851,0.92768,0.87657,0.92085,0.80218,0.60174,0.6462,0.87108,0.000123511,0.000123511,0.000123511
57,131.094,0.59491,0.86882,0.96885,0.90819,0.88592,0.92097,0.80424,0.59896,0.63869,0.86593,0.000115648,0.000115648,0.000115648
58,132.747,0.61487,0.86569,0.97588,0.901,0.88558,0.91989,0.80333,0.60505,0.61421,0.86103,0.000107785,0.000107785,0.000107785
59,134.399,0.5753,0.85301,0.95169,0.91127,0.88231,0.91947,0.80528,0.60681,0.6044,0.86078,9.99211e-05,9.99211e-05,9.99211e-05
60,136.785,0.58971,0.82965,0.96475,0.9106,0.88577,0.91923,0.80276,0.61314,0.5934,0.86136,9.20577e-05,9.20577e-05,9.20577e-05
61,141.12,0.52672,0.91518,0.92169,0.91101,0.88593,0.91921,0.80356,0.60962,0.59468,0.8609,8.41943e-05,8.41943e-05,8.41943e-05
62,143.118,0.51327,0.86268,0.91939,0.89841,0.91164,0.91916,0.80846,0.60542,0.60247,0.8636,7.63309e-05,7.63309e-05,7.63309e-05
63,144.61,0.48511,0.83591,0.89112,0.89027,0.91078,0.91891,0.80888,0.60473,0.61892,0.86753,6.84674e-05,6.84674e-05,6.84674e-05
64,146.198,0.46517,0.77641,0.90476,0.87206,0.91307,0.91916,0.80898,0.61753,0.65764,0.87688,6.0604e-05,6.0604e-05,6.0604e-05
65,147.84,0.4607,0.77806,0.88175,0.86791,0.913,0.92677,0.81586,0.60634,0.65936,0.87074,5.27406e-05,5.27406e-05,5.27406e-05
66,149.587,0.45934,0.79192,0.89008,0.86701,0.91308,0.92721,0.8183,0.59197,0.65247,0.86548,4.48771e-05,4.48771e-05,4.48771e-05
67,152.003,0.46175,0.81193,0.88489,0.87008,0.91266,0.92776,0.82294,0.58196,0.64592,0.86182,3.70137e-05,3.70137e-05,3.70137e-05
68,154.027,0.45972,0.7877,0.88867,0.87697,0.91246,0.92832,0.84541,0.57276,0.62062,0.85904,2.91503e-05,2.91503e-05,2.91503e-05
69,155.61,0.46579,0.80642,0.90071,0.88088,0.91174,0.92849,0.84555,0.56955,0.61287,0.85922,2.12869e-05,2.12869e-05,2.12869e-05
70,157.391,0.45004,0.77367,0.8839,0.88363,0.91134,0.92847,0.84394,0.56842,0.60301,0.85977,1.34234e-05,1.34234e-05,1.34234e-05
