epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,446.149,0.7031,1.13352,0.76625,0.99721,0,0.7087,0.49286,0.47955,0.39657,0.7087,0.49286,0.47955,0.38505,0.97164,1.90623,2.07049,1.37023,0,0.000540607,0.000540607,0.000540607
47,455.641,0.69363,1.1304,0.75224,0.99616,0,0.76935,0.49665,0.5306,0.43247,0.76935,0.49665,0.5306,0.42663,0.95467,1.85819,1.74171,1.30322,0,0.000535532,0.000535532,0.000535532
48,463.381,0.7176,1.04769,0.73052,0.99499,0,0.57999,0.46891,0.54585,0.46459,0.57999,0.46891,0.53977,0.44183,0.88336,1.54782,1.98322,1.24297,0,0.000530456,0.000530456,0.000530456
49,474.356,0.66141,1.04567,0.71778,0.97117,0,0.50799,0.57306,0.54599,0.455,0.50799,0.57306,0.54599,0.44141,0.89651,1.5655,2.23071,1.23669,0,0.000525381,0.000525381,0.000525381
50,482.218,0.67566,1.06341,0.71624,0.98436,0,0.67803,0.44137,0.58256,0.48833,0.67803,0.44137,0.58256,0.46755,0.88635,1.47622,2.08689,1.19453,0,0.000520305,0.000520305,0.000520305
51,493.836,0.6621,1.07342,0.72553,0.98161,0,0.48085,0.69196,0.50996,0.41242,0.48085,0.69196,0.50996,0.38777,0.90447,1.56926,1.96149,1.17071,0,0.00051523,0.00051523,0.00051523
52,503.02,0.67956,1.09792,0.72824,0.98466,0,0.50144,0.68886,0.57033,0.47843,0.50144,0.68886,0.57033,0.46858,0.87716,1.4614,2.3296,1.16304,0,0.000510155,0.000510155,0.000510155
53,510.585,0.6583,1.07002,0.71955,0.9711,0,0.62996,0.59411,0.50692,0.41048,0.64611,0.61509,0.52716,0.4108,0.94449,1.50556,2.18967,1.21994,0,0.000505079,0.000505079,0.000505079
54,519.855,0.6513,1.01016,0.70466,0.96734,0,0.46252,0.6189,0.54916,0.44866,0.46252,0.6189,0.55202,0.42548,0.86572,1.30528,2.04408,1.18506,0,0.000500004,0.000500004,0.000500004
55,533.772,0.64519,1.05666,0.67944,0.97969,0,0.58646,0.40323,0.41413,0.35214,0.53782,0.37252,0.3865,0.31576,0.99335,1.5769,2.75378,1.32334,0,0.000494928,0.000494928,0.000494928
56,541.7,0.67571,1.06339,0.72356,0.98263,0,0.59822,0.27312,0.31982,0.26332,0.59822,0.27312,0.31982,0.25971,1.11335,1.75411,3.08467,1.36108,0,0.000489853,0.000489853,0.000489853
57,550.697,0.63317,0.9624,0.6637,0.96029,0,0.37172,0.58594,0.47862,0.38736,0.37172,0.58594,0.47862,0.38432,0.92682,1.60281,2.49919,1.28265,0,0.000484778,0.000484778,0.000484778
58,559.295,0.61448,0.95143,0.65097,0.9604,0,0.52809,0.6119,0.5685,0.48526,0.52809,0.6119,0.5685,0.47429,0.81006,1.43014,2.34326,1.16205,0,0.000479702,0.000479702,0.000479702
59,570.277,0.66421,1.10538,0.72401,0.99798,0,0.54487,0.50815,0.5935,0.51986,0.54487,0.50815,0.5935,0.47845,0.77035,1.54684,1.92388,1.09373,0,0.000474627,0.000474627,0.000474627
60,583.109,0.64525,1.00339,0.7051,0.97167,0,0.40548,0.68066,0.55594,0.45709,0.40548,0.68066,0.55594,0.45551,0.78482,1.47372,2.16357,1.12356,0,0.000469551,0.000469551,0.000469551
61,590.748,0.62399,1.00432,0.65564,0.96768,0,0.40979,0.70871,0.45901,0.37084,0.40979,0.70871,0.45901,0.37258,0.87482,1.56528,2.22004,1.17446,0,0.000464476,0.000464476,0.000464476
62,601.97,0.6649,1.02558,0.67886,0.98021,0,0.55779,0.52623,0.53388,0.42311,0.55779,0.52623,0.53388,0.40789,0.928,1.55816,2.19795,1.20739,0,0.000459401,0.000459401,0.000459401
63,612.42,0.62671,1.02177,0.67141,0.96077,0,0.43558,0.68333,0.56778,0.43877,0.45824,0.63513,0.5445,0.40989,0.86751,1.87199,1.86059,1.1587,0,0.000454325,0.000454325,0.000454325
64,620.724,0.625,0.95474,0.61971,0.95239,0,0.50916,0.65415,0.61988,0.49858,0.50916,0.65415,0.61988,0.48091,0.84532,1.66303,1.90914,1.16712,0,0.00044925,0.00044925,0.00044925
65,630.271,0.62768,0.95421,0.64358,0.9632,0,0.45231,0.65071,0.57223,0.45597,0.45231,0.65071,0.57223,0.43271,0.91252,1.46202,1.91999,1.16973,0,0.000444174,0.000444174,0.000444174
66,638.005,0.6446,1.02083,0.69897,0.96779,0,0.49053,0.6119,0.6148,0.49424,0.49053,0.6119,0.6148,0.49127,0.85444,1.51818,1.72265,1.1284,0,0.000439099,0.000439099,0.000439099
67,647.294,0.56851,0.90111,0.60371,0.94485,0,0.52847,0.62034,0.59498,0.51066,0.52847,0.62034,0.59907,0.50133,0.75847,1.46517,1.90895,1.11101,0,0.000434024,0.000434024,0.000434024
68,655.092,0.57088,0.91608,0.58734,0.94335,0,0.41975,0.58402,0.56047,0.44882,0.41975,0.58402,0.5666,0.44138,0.93445,1.54688,2.02228,1.29397,0,0.000428948,0.000428948,0.000428948
69,664.419,0.60106,0.97859,0.61421,0.95488,0,0.62545,0.49804,0.55631,0.42623,0.62545,0.49804,0.57178,0.41602,0.88175,1.419,1.91841,1.1884,0,0.000423873,0.000423873,0.000423873
70,673.683,0.57549,0.92888,0.57038,0.94081,0,0.40788,0.61486,0.57693,0.49992,0.40788,0.61486,0.56832,0.47973,0.71397,1.38087,2.06058,1.06524,0,0.000418797,0.000418797,0.000418797
71,684.308,0.57869,0.95173,0.59092,0.94069,0,0.46204,0.50191,0.564,0.47062,0.46204,0.50191,0.55948,0.45992,0.75691,1.36407,2.06715,1.08638,0,0.000413722,0.000413722,0.000413722
