epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,302.418,0.56759,0.85033,0.7805,0.90224,0,0.76527,0.93333,0.90369,0.79949,0.76527,0.93333,0.90369,0.78151,0.62425,0.85034,0.67393,0.88565,0,0.00019805,0.00019805,0.00019805
63,306.739,0.54125,0.79922,0.76968,0.90552,0,0.75197,0.93333,0.89759,0.79606,0.75197,0.93333,0.89759,0.76453,0.61658,0.84945,0.67422,0.8886,0,0.0001931,0.0001931,0.0001931
64,310.649,0.57721,0.86092,0.8363,0.90416,0,0.72901,0.93333,0.8967,0.78745,0.72901,0.93333,0.8967,0.7716,0.64269,0.87127,0.65108,0.90203,0,0.00018815,0.00018815,0.00018815
65,315.491,0.56435,0.83086,0.78932,0.91275,0,0.75422,0.93333,0.90772,0.78371,0.75422,0.93333,0.90772,0.77919,0.65823,0.92098,0.64292,0.89936,0,0.0001832,0.0001832,0.0001832
66,320.424,0.57257,0.85632,0.79002,0.92396,0,0.81981,0.92419,0.92134,0.79604,0.81981,0.92419,0.92134,0.79183,0.65114,0.98093,0.62074,0.90418,0,0.00017825,0.00017825,0.00017825
67,324.257,0.53478,0.81449,0.73709,0.90491,0,0.87835,0.90349,0.91366,0.7978,0.87835,0.90349,0.91366,0.78968,0.61779,0.91938,0.6029,0.89848,0,0.0001733,0.0001733,0.0001733
68,328.088,0.57668,0.88001,0.76536,0.89983,0,0.9331,0.88034,0.90532,0.78419,0.9331,0.88034,0.90532,0.78415,0.61667,0.87827,0.6175,0.89274,0,0.00016835,0.00016835,0.00016835
69,333.635,0.55026,0.82283,0.77429,0.89923,0,0.92009,0.87607,0.90963,0.78671,0.92009,0.87607,0.90963,0.7861,0.62988,0.88687,0.63391,0.89643,0,0.0001634,0.0001634,0.0001634
70,337.911,0.56237,0.85381,0.78436,0.9164,0,0.88775,0.87667,0.92744,0.79294,0.88775,0.87667,0.92744,0.7892,0.62497,0.8702,0.64543,0.88264,0,0.00015845,0.00015845,0.00015845
71,341.651,0.53289,0.78124,0.75433,0.89564,0,0.87899,0.88431,0.91437,0.78567,0.87899,0.88431,0.91437,0.78251,0.65351,0.84217,0.6596,0.89827,0,0.0001535,0.0001535,0.0001535
72,347.139,0.52403,0.8133,0.74173,0.89573,0,0.85406,0.88298,0.91508,0.76976,0.85406,0.88298,0.91508,0.77708,0.65036,0.79829,0.72282,0.89591,0,0.00014855,0.00014855,0.00014855
73,351.217,0.53547,0.79987,0.72705,0.90111,0,0.85263,0.89528,0.91527,0.77541,0.85263,0.89528,0.91527,0.77869,0.63687,0.80316,0.71697,0.88745,0,0.0001436,0.0001436,0.0001436
74,355.155,0.51023,0.75308,0.71133,0.88678,0,0.90169,0.88451,0.91698,0.77649,0.90169,0.88451,0.91698,0.78422,0.64637,0.83053,0.64806,0.89341,0,0.00013865,0.00013865,0.00013865
75,359.775,0.53824,0.84902,0.76001,0.90011,0,0.90247,0.88728,0.9291,0.80203,0.90247,0.88728,0.9291,0.79609,0.64903,0.8416,0.64766,0.8862,0,0.0001337,0.0001337,0.0001337
76,364.513,0.5422,0.79906,0.73307,0.90752,0,0.90002,0.88978,0.9315,0.80051,0.90002,0.88978,0.9315,0.79114,0.64253,0.82281,0.64993,0.87519,0,0.00012875,0.00012875,0.00012875
77,368.372,0.53409,0.77482,0.71287,0.88902,0,0.9134,0.88333,0.92263,0.80431,0.9134,0.88333,0.92263,0.79288,0.64448,0.83171,0.64116,0.87456,0,0.0001238,0.0001238,0.0001238
78,372.781,0.53539,0.80022,0.75792,0.91026,0,0.92384,0.87728,0.93126,0.79745,0.92384,0.87728,0.93126,0.79064,0.64609,0.82546,0.63825,0.88556,0,0.00011885,0.00011885,0.00011885
79,378.359,0.53627,0.79568,0.73612,0.88901,0,0.90674,0.88965,0.92987,0.79311,0.90674,0.88965,0.92987,0.79086,0.64148,0.82712,0.64118,0.89006,0,0.0001139,0.0001139,0.0001139
80,382.459,0.531,0.78248,0.70621,0.8885,0,0.88757,0.89312,0.92512,0.78925,0.88757,0.89312,0.92512,0.7888,0.61995,0.82098,0.64064,0.88199,0,0.00010895,0.00010895,0.00010895
81,386.288,0.51213,0.78115,0.73411,0.88574,0,0.88307,0.8991,0.92254,0.81239,0.88307,0.8991,0.92254,0.78436,0.59352,0.82075,0.62475,0.8753,0,0.000104,0.000104,0.000104
82,391.928,0.52029,0.80064,0.72186,0.90593,0,0.89934,0.88188,0.91931,0.80554,0.89934,0.88188,0.91931,0.79565,0.60488,0.81652,0.63644,0.88405,0,9.905e-05,9.905e-05,9.905e-05
83,395.848,0.52338,0.80386,0.71671,0.88986,0,0.89803,0.86901,0.92086,0.79941,0.89803,0.86901,0.92086,0.79155,0.64779,0.82732,0.67047,0.9043,0,9.41e-05,9.41e-05,9.41e-05
84,399.819,0.52009,0.76266,0.69274,0.89811,0,0.90487,0.84718,0.9133,0.77747,0.90487,0.84718,0.9133,0.78094,0.66208,0.79889,0.70475,0.90623,0,8.915e-05,8.915e-05,8.915e-05
